,id,route,direction,segment,volume,vcr,vcr_cat,geometry
27,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.28,,,,2000,0.4,Low,"MULTILINESTRING ((138.491737 -35.109306, 138.492061 -35.109838, 138.492894 -35.111306, 138.492992 -35.111518, 138.493161 -35.111879, 138.493505 -35.112842, 138.493554 -35.113014, 138.494061 -35.114756, 138.494301 -35.115509, 138.494468 -35.116006, 138.494643 -35.116526, 138.494863 -35.117234, 138.494942 -35.117514, 138.495032 -35.117814, 138.49518 -35.118348, 138.495249 -35.118602, 138.495485 -35.119509, 138.49566 -35.120242, 138.49598 -35.121619, 138.496056 -35.122031, 138.496206 -35.122832, 138.496456 -35.124703, 138.496478 -35.125028, 138.496533 -35.12612, 138.496527 -35.127039, 138.496508 -35.127291, 138.496475 -35.127626, 138.49638 -35.128586, 138.496257 -35.129302))"
28,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.29,,,,1000,0.1,Low,"MULTILINESTRING ((138.491737 -35.109306, 138.491654 -35.109171, 138.491392 -35.108751, 138.490164 -35.106968, 138.489699 -35.106327, 138.489355 -35.105722, 138.488937 -35.104792, 138.488584 -35.103753, 138.488487 -35.103099, 138.488423 -35.102242, 138.488437 -35.101909, 138.488579 -35.101498, 138.488744 -35.101066, 138.488813 -35.100698, 138.488761 -35.099403, 138.488793 -35.098745, 138.48881 -35.09855, 138.488924 -35.098156, 138.489368 -35.097039, 138.490057 -35.096054, 138.495795 -35.090386, 138.496224 -35.089996, 138.496734 -35.089349, 138.497223 -35.088695, 138.497588 -35.087973, 138.497709 -35.087646, 138.497843 -35.08703, 138.49795 -35.086509, 138.498329 -35.08452, 138.498395 -35.084281, 138.498521 -35.084014, 138.499134 -35.08315, 138.499616 -35.082697, 138.49993 -35.082403, 138.500707 -35.081604, 138.501029 -35.081243, 138.501285 -35.080923, 138.501371 -35.080782, 138.501757 -35.080015, 138.501943 -35.079649))"
29,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.30,,,,2000,0.4,Low,"MULTILINESTRING ((138.501943 -35.079649, 138.501757 -35.080015, 138.501371 -35.080782, 138.501285 -35.080923, 138.501029 -35.081243, 138.500707 -35.081604, 138.49993 -35.082403, 138.499616 -35.082697, 138.499134 -35.08315, 138.498521 -35.084014, 138.498395 -35.084281, 138.498329 -35.08452, 138.49795 -35.086509, 138.497843 -35.08703, 138.497709 -35.087646, 138.497588 -35.087973, 138.497223 -35.088695, 138.496734 -35.089349, 138.496224 -35.089996, 138.495795 -35.090386, 138.490057 -35.096054, 138.489368 -35.097039, 138.488924 -35.098156, 138.48881 -35.09855, 138.488793 -35.098745, 138.488761 -35.099403, 138.488813 -35.100698, 138.488744 -35.101066, 138.488579 -35.101498, 138.488437 -35.101909, 138.488423 -35.102242, 138.488487 -35.103099, 138.488584 -35.103753, 138.488937 -35.104792, 138.489355 -35.105722, 138.489699 -35.106327, 138.490164 -35.106968, 138.491392 -35.108751, 138.491654 -35.109171, 138.491737 -35.109306))"
30,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.31,,,,1000,0.1,Low,"MULTILINESTRING ((138.501943 -35.079649, 138.502107 -35.079328, 138.502467 -35.07865, 138.502803 -35.078005, 138.503059 -35.077511, 138.503271 -35.077098, 138.504167 -35.075068, 138.504447 -35.074502, 138.504727 -35.073956, 138.505017 -35.073429, 138.505169 -35.073117, 138.505275 -35.072867, 138.505347 -35.072679, 138.505483 -35.072177, 138.50557 -35.071484, 138.505573 -35.071016, 138.505569 -35.070799, 138.505526 -35.070384, 138.505491 -35.070095, 138.505414 -35.069751, 138.505309 -35.069244, 138.505247 -35.068756, 138.505239 -35.068287, 138.505297 -35.067819, 138.505337 -35.067604, 138.505449 -35.067173, 138.505523 -35.066904, 138.505574 -35.066686))"
31,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.32,,,,2000,0.5,Low,"MULTILINESTRING ((138.505574 -35.066686, 138.505523 -35.066904, 138.505449 -35.067173, 138.505337 -35.067604, 138.505297 -35.067819, 138.505239 -35.068287, 138.505247 -35.068756, 138.505309 -35.069244, 138.505414 -35.069751, 138.505491 -35.070095, 138.505526 -35.070384, 138.505569 -35.070799, 138.505573 -35.071016, 138.50557 -35.071484, 138.505483 -35.072177, 138.505347 -35.072679, 138.505275 -35.072867, 138.505169 -35.073117, 138.505017 -35.073429, 138.504727 -35.073956, 138.504447 -35.074502, 138.504167 -35.075068, 138.503271 -35.077098, 138.503059 -35.077511, 138.502803 -35.078005, 138.502467 -35.07865, 138.502107 -35.079328, 138.501943 -35.079649))"
32,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.33,,,,1000,0.1,Low,"MULTILINESTRING ((138.505574 -35.066686, 138.505807 -35.065856, 138.506017 -35.065057, 138.506214 -35.064349, 138.506411 -35.063632, 138.506618 -35.062969, 138.506816 -35.062207, 138.507012 -35.061166, 138.507081 -35.060356, 138.50711 -35.059744, 138.506832 -35.058431, 138.506697 -35.057824, 138.506306 -35.056283, 138.50615 -35.055631, 138.506027 -35.054999, 138.505997 -35.054187, 138.506117 -35.053117, 138.506536 -35.052314, 138.506617 -35.052171, 138.506966 -35.051529, 138.507821 -35.050069, 138.508248 -35.049383, 138.508666 -35.048959, 138.5093 -35.048536, 138.510219 -35.047904, 138.511828 -35.046881, 138.51294 -35.046014))"
33,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.34,,,,2000,0.5,Low,"MULTILINESTRING ((138.51294 -35.046014, 138.511828 -35.046881, 138.510219 -35.047904, 138.5093 -35.048536, 138.508666 -35.048959, 138.508248 -35.049383, 138.507821 -35.050069, 138.506966 -35.051529, 138.506617 -35.052171, 138.506536 -35.052314, 138.506117 -35.053117, 138.505997 -35.054187, 138.506027 -35.054999, 138.50615 -35.055631, 138.506306 -35.056283, 138.506697 -35.057824, 138.506832 -35.058431, 138.50711 -35.059744, 138.507081 -35.060356, 138.507012 -35.061166, 138.506816 -35.062207, 138.506618 -35.062969, 138.506411 -35.063632, 138.506214 -35.064349, 138.506017 -35.065057, 138.505807 -35.065856, 138.505574 -35.066686))"
34,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.35,,,,1000,0.1,Low,"MULTILINESTRING ((138.51294 -35.046014, 138.513041 -35.045924, 138.513556 -35.04549, 138.515089 -35.044199, 138.51654 -35.042958, 138.517406 -35.042227))"
35,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.36,,,,2000,0.5,Low,"MULTILINESTRING ((138.517406 -35.042227, 138.51654 -35.042958, 138.515089 -35.044199, 138.513556 -35.04549, 138.513041 -35.045924, 138.51294 -35.046014))"
36,ckan_50a8f7ba_e2ab_4fda_8729_04b24430c3ca.37,,,,1000,0.1,Low,"MULTILINESTRING ((138.517406 -35.042227, 138.517631 -35.042024, 138.517992 -35.041716, 138.51852 -35.041276, 138.518723 -35.0411, 138.519454 -35.040492, 138.519611 -35.040352, 138.519995 -35.03998, 138.52012 -35.039848, 138.520428 -35.039448, 138.520613 -35.03911, 138.520752 -35.038818, 138.52084 -35.038508, 138.520946 -35.037948, 138.521136 -35.035423, 138.521352 -35.032436, 138.521403 -35.031883))"
